Origin,Lat,Lon,Lon_
Busan,35.10485649,129.0712585,129.0712585
Guangzhou,22.95496178,113.483284,113.483284
Ningbo,29.93606654,121.8443344,121.8443344
Qingdao,36.05308151,120.2727203,120.2727203
Savannah,31.99670982,279.0413628,-80.9586372
Shanghai,31.2816017,121.565515,121.565515
Shenzhen,22.49437523,113.935791,113.935791
Wilmington,39.726,284.4665,-75.5335
Yokohama,35.44335365,139.7023544,139.7023544
Long Beach,33.75493,241.78565,-118.21435
Los Angeles,33.74483109,241.8017387,-118.1982613
New York,40.66378684,285.9103556,-74.0896444
Seattle,47.66975975,237.4330902,-122.5669098
Wenzhou,27.97808552,120.7937698,120.7937698
